"Concentric Impulse","Concentric Mean Power / BM","Concentric Peak Force / BM","Concentric Peak Velocity","Concentric RPD","Eccentric Braking Impulse","Eccentric Braking RFD","Eccentric Peak Velocity","Flight Time:Contraction Time","Force at Peak Power","Jump Height","Movement Start to Peak Force","Movement Start to Peak Power","Peak Power / BM","Total Work","Velocity at Peak Power"
212.7,27.7,22.1,2.86,17254.1,47.1,3588,-1.082,0.67,1621,38.8,0.763,0.793,53.5,888,2.547
223.4,28.5,21.7,2.9,18723.9,39,3310,-0.862,0.55,1665,38,0.839,0.888,53.1,942,2.612
195.2,35.6,27.5,3.02,25503.7,35.3,3325,-0.971,0.78,1608,43.7,0.616,0.702,64,729,2.651
212.4,27.4,22.2,2.85,15458.5,49.6,3982,-1.251,0.62,1544,38.5,0.583,0.843,52.5,962,2.626
207.2,28.8,22.2,2.8,18933.9,52.4,3641,-1.089,0.64,1582,36.8,0.624,0.794,52,879,2.538
241.9,40.3,26.6,3.4,28940.6,48,5367,-1.242,0.93,1792,53.8,0.518,0.667,72.8,987,3.023
183.7,25.2,22,2.68,14012,37.7,3142,-1.03,0.55,1428,32.4,0.607,0.843,47,853,2.396
212.6,30.1,25.4,2.92,18674.9,46.1,4513,-1.192,0.64,1607,40.2,0.599,0.838,56,927,2.64
222.6,31.7,24,2.96,20687.9,47.6,4403,-1.16,0.65,1646,41.8,0.649,0.848,57.2,931,2.704
191.8,31.5,27,2.78,23225.3,45,6950,-1.358,0.76,1564,35.6,0.501,0.663,53.1,749,2.459
195.7,33.3,25.9,2.9,24937.9,41.5,4734,-1.035,0.79,1639,39.6,0.55,0.641,59.9,718,2.562
199.7,26.1,21.3,2.72,16873.6,47.8,4329,-1.34,0.68,1590,33.7,0.494,0.742,50.1,879,2.444
177,23.2,20.6,2.58,13231.2,47,3883,-1.263,0.62,1438,30,0.729,0.752,45.5,792,2.311
223.6,27.1,23,2.87,13967.6,57.7,3258,-1.212,0.52,1526,38.7,0.778,1.056,49.6,1173,2.637
220.5,28.9,24.5,2.67,26917,61.4,6939,-1.193,0.73,1935,32.4,0.49,0.634,51.4,848,2.325
196.2,27.8,22.7,2.84,14425.9,51.5,4796,-1.636,0.71,1400,38.4,0.481,0.74,51.3,900,2.614
223.6,26.4,21.6,2.85,16712.7,49.2,3413,-1.24,0.61,1707,38,0.866,0.883,54.1,1048,2.59
226.3,28.9,22.7,2.91,20073.5,40.3,2828,-0.968,0.64,1769,39.9,0.829,0.85,57.3,958,2.626
186.5,26.8,21.5,2.75,15063.9,39.8,3653,-1.37,0.66,1430,35.2,0.527,0.742,50.5,834,2.501
